What is the range of your family's average monthly earnings?
70000- 1 lakh
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
70000- 1 lakh
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
1 lakh +
70000- 1 lakh
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
70000- 1 lakh
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
1 lakh +
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
70000- 1 lakh
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
Less than 20000
Less than 20000
70000- 1 lakh
1 lakh +
1 lakh +
Less than 20000
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
70000- 1 lakh
Less than 20000
1 lakh +
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
70000- 1 lakh
70000- 1 lakh
20000 - 70000
70000- 1 lakh
1 lakh +
70000- 1 lakh
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
1 lakh +
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
Less than 20000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
70000- 1 lakh
1 lakh +
70000- 1 lakh
70000- 1 lakh
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
70000- 1 lakh
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
70000- 1 lakh
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
Less than 20000
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
1 lakh +
70000- 1 lakh
70000- 1 lakh
Less than 20000
1 lakh +
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
70000- 1 lakh
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
1 lakh +
Less than 20000
Less than 20000
70000- 1 lakh
Less than 20000
1 lakh +
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
70000- 1 lakh
70000- 1 lakh
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
70000- 1 lakh
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
1 lakh +
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
70000- 1 lakh
Less than 20000
1 lakh +
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
70000- 1 lakh
1 lakh +
70000- 1 lakh
20000 - 70000
1 lakh +
1 lakh +
Less than 20000
70000- 1 lakh
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
70000- 1 lakh
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
1 lakh +
70000- 1 lakh
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
Less than 20000
70000- 1 lakh
1 lakh +
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
70000- 1 lakh
Less than 20000
1 lakh +
Less than 20000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
70000- 1 lakh
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
70000- 1 lakh
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
70000- 1 lakh
Less than 20000
Less than 20000
70000- 1 lakh
1 lakh +
70000- 1 lakh
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
1 lakh +
1 lakh +
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
Less than 20000
70000- 1 lakh
1 lakh +
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
70000- 1 lakh
Less than 20000
Less than 20000
70000- 1 lakh
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
1 lakh +
70000- 1 lakh
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
1 lakh +
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
70000- 1 lakh
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
70000- 1 lakh
1 lakh +
70000- 1 lakh
70000- 1 lakh
1 lakh +
1 lakh +
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
70000- 1 lakh
70000- 1 lakh
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
70000- 1 lakh
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
1 lakh +
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
70000- 1 lakh
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
70000- 1 lakh
70000- 1 lakh
70000- 1 lakh
70000- 1 lakh
70000- 1 lakh
70000- 1 lakh
70000- 1 lakh
Less than 20000
70000- 1 lakh
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
70000- 1 lakh
1 lakh +
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
70000- 1 lakh
1 lakh +
70000- 1 lakh
1 lakh +
70000- 1 lakh
1 lakh +
1 lakh +
70000- 1 lakh
1 lakh +
1 lakh +
1 lakh +
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
70000- 1 lakh
Less than 20000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
1 lakh +
20000 - 70000
20000 - 70000
70000- 1 lakh
1 lakh +
70000- 1 lakh
Less than 20000
70000- 1 lakh
Less than 20000
20000 - 70000
70000- 1 lakh
20000 - 70000
Less than 20000
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
70000- 1 lakh
70000- 1 lakh
1 lakh +
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
20000 - 70000
20000 - 70000
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
1 lakh +
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
1 lakh +
1 lakh +
1 lakh +
20000 - 70000
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
1 lakh +
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
20000 - 70000
70000- 1 lakh
20000 - 70000
20000 - 70000
Less than 20000
Less than 20000
70000- 1 lakh
20000 - 70000
1 lakh +
20000 - 70000
1 lakh +
20000 - 70000
Less than 20000
70000- 1 lakh
1 lakh +
1 lakh +
Less than 20000
20000 - 70000
20000 - 70000
Less than 20000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
20000 - 70000
1 lakh +
Less than 20000
1 lakh +
Less than 20000
Less than 20000
Less than 20000
20000 - 70000
Less than 20000
70000- 1 lakh
Less than 20000
Less than 20000
